"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","厦门销量","厦门库存","厦门可订购","长沙销量","长沙库存","长沙可订购","天津销量","天津库存","天津可订购","青岛销量","青岛库存","青岛可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","贵阳销量","贵阳库存","贵阳可订购","深圳销量","深圳库存","深圳可订购","郑州销量","郑州库存","郑州可订购","昆明销量","昆明库存","昆明可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","台州销量","台州库存","台州可订购","杭州销量","杭州库存","杭州可订购","长春销量","长春库存","长春可订购","南充销量","南充库存","南充可订购","洛阳销量","洛阳库存","洛阳可订购","重庆销量","重庆库存","重庆可订购","荆州销量","荆州库存","荆州可订购","北京总体销量","北京总体库存","北京总体可订购","大连销量","大连库存","大连可订购","海口销量","海口库存","海口可订购","德州总体销量","德州总体库存","德州总体可订购","拉萨销量","拉萨库存","拉萨可订购","临汾销量","临汾库存","临汾可订购","南昌销量","南昌库存","南昌可订购","银川销量","银川库存","银川可订购","柳州销量","柳州库存","柳州可订购","南京销量","南京库存","南京可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","唐山销量","唐山库存","唐山可订购","太原销量","太原库存","太原可订购","驻马店销量","驻马店库存","驻马店可订购","济南销量","济南库存","济南可订购","福州销量","福州库存","福州可订购","石家庄销量","石家庄库存","石家庄可订购","南宁销量","南宁库存","南宁可订购","合肥销量","合肥库存","合肥可订购","济宁销量","济宁库存","济宁可订购","兰州销量","兰州库存","兰州可订购","宿迁销量","宿迁库存","宿迁可订购","衡阳销量","衡阳库存","衡阳可订购","锦州销量","锦州库存","锦州可订购","大同销量","大同库存","大同可订购"
"3912699","【京东超市】寿全斋 愿姜来红糖姜茶-纸罐装 暖心饮品姨妈茶速溶姜茶姜汤 120克","寿全斋（SHOUQUANZHAI）","上柜","31.8000","19","441","512","- ","- ","- ","0","0","0","1","122","122","2","88","87","4","55","55","5","12","48","1","30","30","0","26","26","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","1","0","0","0","3","3","1","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","3","3","3","- ","- ","- ","- ","- ","- ","4","98","134","1","0","0","0","0","0","2","10","10","- ","- ","- ","- ","- ","- ","0","0","0","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","3","3","0","7","7","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3093880","【京东超市】寿全斋 花草茶 玄米茶 袋泡茶纸袋装30小包 150g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","26","446","514","- ","- ","- ","0","0","0","3","111","110","14","164","233","1","13","13","0","26","26","1","40","40","0","7","7","0","2","2","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","1","27","52","0","0","0","- ","- ","- ","0","0","0","0","1","1","0","0","0","1","0","0","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","4","68","68","0","2","2","0","0","0","3","17","17","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","0","2","2","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","4","3","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4203913","【京东超市】寿全斋 大麦若叶青汁大麦苗粉营养代餐粉 3gx10包 共30g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","8","356","355","- ","- ","- ","- ","- ","- ","1","92","92","1","77","76","2","41","41","0","3","4","1","17","17","0","9","9","0","0","0","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","2","0","0","- ","- ","- ","3","96","96","- ","- ","- ","- ","- ","- ","0","21","20","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","4","4","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3083448","【京东超市】寿全斋 黑糖姜块姜母茶 手工姜茶速溶黑糖块老姜汤罐装 180g","寿全斋（SHOUQUANZHAI）","上柜","39.9000","90","1028","1196","- ","- ","- ","5","7","7","26","161","248","14","313","309","6","77","77","13","47","47","6","132","132","4","47","74","0","9","9","1","0","-1","5","7","7","0","10","10","0","7","7","0","1","1","4","19","19","1","2","2","0","4","4","0","1","1","- ","- ","- ","1","11","8","0","3","3","0","3","3","- ","- ","- ","2","5","5","0","2","2","14","182","241","0","8","8","0","3","3","2","62","61","0","1","1","- ","- ","- ","0","1","1","0","3","3","0","1","1","2","28","28","0","5","2","1","0","0","0","8","8","0","1","1","1","0","0","1","2","2","0","6","6","0","8","8","1","1","1","0","2","2","0","3","3","0","4","4","2","2","3","- ","- ","- ","- ","- ","- "
"2896537","【京东超市】寿全斋 花草茶 红枣片45g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","36","3441","3441","- ","- ","- ","3","239","239","5","743","742","7","825","825","3","241","241","5","347","348","1","291","291","2","116","116","0","4","4","1","6","6","3","239","239","0","5","5","0","1","1","1","2","2","2","222","222","2","0","0","0","25","25","0","3","3","0","1","1","0","7","7","0","1","1","- ","- ","- ","- ","- ","- ","0","3","3","0","2","2","8","601","601","0","2","2","0","1","1","2","38","38","0","3","3","- ","- ","- ","0","2","2","0","1","1","0","0","0","0","15","15","0","1","1","2","0","0","0","2","2","1","1","1","0","0","0","0","2","2","0","2","2","0","1","1","0","2","2","- ","- ","- ","0","0","0","0","0","0","0","0","1","- ","- ","- ","0","1","1"
"5130778","【京东超市】寿全斋 红糖姜块 姨妈茶 手工速溶生姜茶红糖块老姜汤姜母茶袋装 84g","寿全斋（SHOUQUANZHAI）","上柜","19.9000","26","705","749","- ","- ","- ","2","0","0","3","109","109","6","136","136","0","74","93","0","95","95","0","95","95","0","9","34","- ","- ","- ","0","4","4","2","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","18","18","0","0","0","- ","- ","- ","2","1","1","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","5","176","176","- ","- ","- ","0","3","3","10","11","11","0","2","2","0","0","0","- ","- ","- ","0","2","2","0","0","0","1","1","1","0","0","0","0","3","3","0","4","4","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1518910","【京东超市】寿全斋 花草茶 玫瑰荷叶茶 袋泡茶纸袋装 125g","寿全斋（SHOUQUANZHAI）","上柜","29.9000","17","462","503","- ","- ","- ","0","6","6","4","76","76","0","54","97","0","34","32","8","53","53","2","16","16","2","44","44","0","0","0","0","0","0","0","6","6","0","5","5","1","1","1","0","1","1","0","11","11","0","4","4","0","3","3","0","0","0","0","3","3","1","15","15","1","0","0","- ","- ","- ","- ","- ","- ","0","4","4","- ","- ","- ","1","112","112","0","2","2","0","1","1","0","67","67","0","7","7","- ","- ","- ","- ","- ","- ","0","5","5","0","1","1","0","7","7","0","3","3","- ","- ","- ","0","3","3","0","2","2","0","0","0","0","6","6","0","3","3","0","3","3","- ","- ","- ","0","6","6","0","1","1","1","3","3","- ","- ","- ","- ","- ","- ","- ","- ","- "
"3502220","【京东超市】寿全斋 红枣姜茶 姨妈茶 姜枣茶 速溶生姜茶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","127.0000","7","252","252","- ","- ","- ","0","0","0","1","44","44","1","50","50","0","48","48","1","22","22","3","11","11","0","16","16","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","3","3","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","6","6","2","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","47","47","1","0","0","- ","- ","- ","0","14","14","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","1","0","0","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2182631","【京东超市】寿全斋 愿姜来姜心之作礼盒C（红糖+木糖醇+红枣）10支/罐 速溶姜母茶 姜枣茶360g","寿全斋（SHOUQUANZHAI）","上柜","99.0000","20","61","74","- ","- ","- ","0","0","0","1","9","17","10","11","18","1","8","7","2","8","7","2","7","7","0","4","4","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","8","1","0","0","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","2","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","4","14","14","- ","- ","- ","1","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2297752","【京东超市】寿全斋 桂圆红枣茶10支装 速溶颗粒饮料 120g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","45","627","660","- ","- ","- ","7","1","0","4","145","146","16","161","159","3","67","67","4","32","32","2","63","62","1","4","40","2","2","2","0","3","3","7","1","0","0","5","5","2","2","2","0","3","3","0","29","29","1","2","2","0","0","0","2","2","3","0","1","1","0","14","13","0","1","1","0","1","1","- ","- ","- ","0","3","3","- ","- ","- ","4","108","108","0","5","5","0","1","1","4","46","46","- ","- ","- ","- ","- ","- ","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","- ","- ","- ","0","2","2","0","1","1","3","0","0","0","4","4","- ","- ","- ","4","4","4","0","5","5","- ","- ","- ","0","3","3","0","1","3","- ","- ","- ","0","1","1","- ","- ","- "
"4450459","【京东超市】寿全斋 红糖姜茶x2+红枣姜茶x1 红糖 姨妈茶 姜枣茶 速溶姜母茶老姜汤  120gx2+120g","寿全斋（SHOUQUANZHAI）","上柜","64.4000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1518895","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250g","寿全斋（SHOUQUANZHAI）","上柜","26.0000","115","5684","5837","- ","- ","- ","0","16","16","36","1424","1421","12","1575","1599","7","522","522","4","504","504","13","291","291","3","411","409","1","27","27","1","12","12","0","16","16","0","0","0","1","11","11","0","9","9","6","148","172","0","10","10","2","2","2","0","50","50","0","4","4","3","146","146","1","6","6","0","1","1","- ","- ","- ","0","11","11","- ","- ","- ","35","941","931","0","3","3","0","15","15","5","0","144","0","1","1","- ","- ","- ","1","3","3","0","5","5","0","4","4","2","161","161","0","17","16","4","1","1","0","0","0","0","2","2","1","0","0","1","10","10","0","0","0","2","12","12","1","38","38","0","0","0","0","7","7","0","11","9","0","2","2","0","3","3","- ","- ","- "
"5059864","【京东超市】寿全斋 红糖姜块 姨妈茶 手工速溶生姜茶红糖块老姜汤姜母茶罐装 150g","寿全斋（SHOUQUANZHAI）","上柜","39.0000","197","3283","3422","- ","- ","- ","15","0","0","40","718","726","56","773","784","20","373","385","12","288","287","12","187","186","13","63","180","7","3","13","1","12","10","15","0","0","0","0","0","0","5","4","1","0","0","18","119","119","1","5","5","3","0","0","2","1","1","- ","- ","- ","9","51","50","1","4","4","1","2","2","1","2","2","2","0","15","0","1","6","24","881","874","1","7","7","0","9","8","5","0","0","- ","- ","- ","- ","- ","- ","3","6","6","0","9","9","0","6","6","1","88","88","3","3","2","0","2","2","0","0","0","0","4","4","1","0","0","0","0","4","- ","- ","- ","3","7","7","5","6","6","- ","- ","- ","0","6","6","2","2","11","2","3","3","0","1","1","1","0","0"
"4450445","【京东超市】寿全斋 红糖姜茶 红糖 姨妈茶 速溶姜母茶老姜汤 10支装 120gx2（2盒装）","寿全斋（SHOUQUANZHAI）","上柜","39.6000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4450491","【京东超市】寿全斋 红糖姜茶x2+黑糖姜茶x1 红糖 姨妈茶 速溶姜母茶老姜汤  120gx2+120g","寿全斋（SHOUQUANZHAI）","上柜","59.4000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4336995","【京东超市】寿全斋 花草茶 冻干柠檬片水果茶 泡水蜂蜜柠檬花茶 40gx2（2盒装）","寿全斋（SHOUQUANZHAI）","上柜","59.8000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4450489","【京东超市】寿全斋 红糖姜茶+黑糖姜茶 红糖 姨妈茶 姜枣茶 速溶姜母茶老姜汤  120g+120g","寿全斋（SHOUQUANZHAI）","上柜","39.6000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1688084","【京东超市】寿全斋 生姜红茶十支装 固体饮料 120g","寿全斋（SHOUQUANZHAI）","上柜","27.0000","34","445","550","- ","- ","- ","2","7","7","5","121","121","5","49","157","3","43","43","1","51","51","11","34","34","4","14","11","0","0","0","0","1","1","2","7","7","0","4","4","9","2","2","0","1","1","0","8","8","0","0","0","0","0","0","0","0","0","- ","- ","- ","0","2","2","2","2","2","0","1","1","- ","- ","- ","0","4","4","- ","- ","- ","3","99","99","0","2","2","0","2","2","0","27","27","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","1","1","0","1","1","1","18","18","0","3","0","- ","- ","- ","0","2","2","0","1","1","0","0","0","0","0","0","0","10","10","0","0","0","2","0","0","- ","- ","- ","0","3","3","1","1","1","1","0","0","0","4","4","- ","- ","- "
"1273858","【京东超市】寿全斋 红糖姜茶 红糖 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","19.8000","1230","29543","31153","- ","- ","- ","59","192","215","229","6039","6040","266","12460","12501","135","1914","1938","130","2373","2386","96","819","1276","68","824","1143","11","21","71","21","2","0","59","192","215","0","72","177","23","12","87","0","0","32","47","1255","1247","27","65","64","19","65","63","7","3","16","0","8","8","27","511","619","10","46","45","3","12","12","5","10","10","34","44","42","2","7","7","175","4327","4985","34","4","29","5","12","11","72","595","669","0","0","0","0","12","11","38","0","28","4","9","9","15","0","13","35","302","302","6","24","24","0","10","10","0","29","28","4","19","17","20","0","0","7","14","14","0","24","23","8","43","43","24","45","45","3","10","10","1","35","35","22","19","19","3","9","9","3","8","8","3","0","9"
"4521514","【京东超市】寿全斋 红糖姜茶整箱装 姨妈茶速溶姜母茶老姜汤 随行杯装饮料 12克*30杯共360克","寿全斋（SHOUQUANZHAI）","上柜","135.0000","1","50","55","- ","- ","- ","0","0","1","0","7","7","0","9","9","0","3","3","0","5","9","1","8","8","0","4","4","- ","- ","- ","- ","- ","- ","0","0","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","12","12","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- "
